timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
19:52.4,LOCATION,user_Lufohaelae,rotation_parent,"ORIGIN(x,y,z):",0.4440715,-0.0548099,2.090518,"Direction(x,y,z):",-0.2086737,-0.3036512,0.9296512
19:54.2,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",0.5023836,-0.06661608,4.523209,"Direction(x,y,z):",-0.7717348,-0.5820048,0.2563119
19:55.8,SceneChange,Always on pressed...,,,,,,,,,
19:58.2,SceneChange,Always on pressed...,,,,,,,,,
20:03.7,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",0.7701734,-0.02417083,4.155614,"Direction(x,y,z):",-0.7972113,-0.3417201,-0.4976761
20:06.9,LOCATION,user_Lufohaelae,plastic,"ORIGIN(x,y,z):",1.577242,0.0954452,1.077563,"Direction(x,y,z):",-0.9339646,-0.2696364,0.2345347
20:06.9,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",1.564406,0.0911087,1.047027,"Direction(x,y,z):",-0.9047989,-0.3490516,0.2439302
20:08.1,LOCATION,user_Lufohaelae,glass,"ORIGIN(x,y,z):",1.575835,0.02757396,0.8527817,"Direction(x,y,z):",-0.4200271,-0.7086514,-0.5669132
20:08.4,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",1.575846,0.02621902,0.8529935,"Direction(x,y,z):",-0.4027013,-0.7167318,-0.5693218
20:08.8,LOCATION,user_Lufohaelae,metal,"ORIGIN(x,y,z):",1.575121,0.0152549,0.8532612,"Direction(x,y,z):",-0.315058,-0.7470107,-0.5854173
20:09.1,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",1.560313,0.005402813,0.8837878,"Direction(x,y,z):",-0.3315002,-0.7900165,-0.5157341
20:09.5,LOCATION,user_Lufohaelae,plastic,"ORIGIN(x,y,z):",1.581459,0.002596542,1.104373,"Direction(x,y,z):",-0.2107728,-0.7215506,0.6594995
20:10.6,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",1.600065,0.01728282,1.11833,"Direction(x,y,z):",-0.3346216,-0.6886734,0.6432396
20:10.7,LOCATION,user_Lufohaelae,paper,"ORIGIN(x,y,z):",1.598693,0.02353689,1.113,"Direction(x,y,z):",-0.4047137,-0.6728725,0.619233
20:10.9,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",1.594429,0.04443328,1.08914,"Direction(x,y,z):",-0.6323931,-0.5919885,0.4996285
20:12.6,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",1.569395,0.07391776,0.9891154,"Direction(x,y,z):",-0.9122387,-0.4078,-0.03898561
20:22.6,LOCATION,user_Lufohaelae,paper,"ORIGIN(x,y,z):",1.598518,0.02117395,1.129887,"Direction(x,y,z):",-0.4194649,-0.6880985,0.5920892
20:22.9,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",1.603218,0.020041,1.134703,"Direction(x,y,z):",-0.4047294,-0.6982048,0.5905117
20:23.0,LOCATION,user_Lufohaelae,plastic,"ORIGIN(x,y,z):",1.623171,0.01329134,1.15149,"Direction(x,y,z):",-0.1567224,-0.7754503,0.6116492
20:24.4,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",1.610209,0.02010767,1.116736,"Direction(x,y,z):",-0.3279903,-0.6971348,0.637515
20:24.5,LOCATION,user_Lufohaelae,paper,"ORIGIN(x,y,z):",1.59501,0.02894991,1.095025,"Direction(x,y,z):",-0.598159,-0.616872,0.5115417
20:25.3,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",1.578135,0.03111678,1.069342,"Direction(x,y,z):",-0.6440717,-0.6517057,0.4005637
20:26.1,LOCATION,user_Lufohaelae,metal,"ORIGIN(x,y,z):",1.623494,0.009563005,0.8702732,"Direction(x,y,z):",-0.1452852,-0.7802756,-0.6083274
20:27.3,LOCATION,user_Lufohaelae,glass,"ORIGIN(x,y,z):",1.621924,0.03202655,0.9797922,"Direction(x,y,z):",-0.5781362,-0.6049832,-0.5474979
20:27.8,LOCATION,user_Lufohaelae,metal,"ORIGIN(x,y,z):",1.619791,0.01981443,0.978888,"Direction(x,y,z):",-0.122423,-0.7441108,-0.6567433
