timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
14:31.7,LOCATION,user_Jutasywy,Trash,"ORIGIN(x,y,z):",-0.007929875,-0.01216596,-0.03279643,"Direction(x,y,z):",0.01244922,-0.1602214,0.9870026
14:55.0,LOCATION,user_Xoraegore,rotation_parent,"ORIGIN(x,y,z):",-0.04582437,-0.02455625,0.01163533,"Direction(x,y,z):",-0.05360119,-0.2315106,0.9713546
14:58.0,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.04582437,-0.02455625,0.01163533,"Direction(x,y,z):",-0.05360119,-0.2315106,0.9713546
15:01.4,LOCATION,user_Xoraegore,floor,"ORIGIN(x,y,z):",-0.6712717,0.03823256,0.8667457,"Direction(x,y,z):",0.9124195,-0.344192,0.22141
15:10.1,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-1.038358,0.04566513,1.081016,"Direction(x,y,z):",0.9255025,-0.3778347,-0.02619219
15:10.8,LOCATION,user_Xoraegore,floor,"ORIGIN(x,y,z):",-1.037078,0.04559052,1.084951,"Direction(x,y,z):",0.9250659,-0.3689841,-0.09002098
15:10.8,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-1.036202,0.04587208,1.087232,"Direction(x,y,z):",0.9116625,-0.3654469,-0.187936
15:11.6,LOCATION,user_Xoraegore,metal,"ORIGIN(x,y,z):",-1.031901,0.04893747,1.100928,"Direction(x,y,z):",0.8739788,-0.3525682,-0.3344499
15:13.3,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-1.082227,0.04219775,1.017721,"Direction(x,y,z):",0.2562027,-0.1929744,-0.9471647
15:16.3,LOCATION,user_Xoraegore,Trash,"ORIGIN(x,y,z):",-1.026222,0.05366101,1.160503,"Direction(x,y,z):",0.3680727,-0.2272464,0.9015994
15:16.7,LOCATION,user_Xoraegore,wall,"ORIGIN(x,y,z):",-1.033499,0.05343948,1.169245,"Direction(x,y,z):",0.4063187,-0.2507199,0.8786607
15:16.7,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-1.034827,0.05302775,1.171145,"Direction(x,y,z):",0.4102169,-0.256312,0.8752292
