Q1,Q2,Q3,Q4_1,Q4_2,Q5,Q6
2,2,21,2,2,1,3
1,2,23,2,2,1,2
3,1,22,1,2,1,3
4,1,26,2,2,1,3
5,2,26,1,1,1,3
6,1,21,1,2,1,2
7,1,19,2,2,1,2
8,1,20,1,1,1,2
10,1,25,1,1,1,3
9,1,24,1,2,1,2
11,1,26,2,2,1,3
12,1,25,2,2,1,3
13,2,20,1,2,1,3
14,2,21,1,1,1,2
15,1,22,1,1,1,2
16,2,24,1,1,1,2
17,2,23,2,2,1,3
18,2,21,1,2,1,3
19,1,23,2,2,1,3
20,1,22,2,1,1,2
21,1,22,2,1,1,3
22,2,24,2,2,1,3
23,1,22,1,1,1,2
24,1,23,1,1,1,2
25,2,24,2,2,1,3
26,1,25,2,2,1,3
27,1,20,1,1,1,3
28,1,20,1,1,1,2
29,1,24,1,1,1,2
30,1,26,2,1,1,2
31,1,25,1,1,1,3
32,2,25,1,2,1,3
33,1,23,1,1,1,2
34,2,23,1,2,1,2
35,2,22,1,1,1,3
36,2,21,1,2,1,3
37,2,22,1,2,1,2
38,2,23,2,2,1,3
39,1,21,1,1,1,2
40,1,23,2,2,1,3
,,1.910832816,,,,
,,22.8,,,,
