"contrast","estimate","SE","df","t.ratio","p.value","question"
"sound0 visualization1 - sound1 visualization1",1.7,11.1374901196176,65.2939258729022,0.152637621379848,0.999987896492494,"Q3_1"
"sound0 visualization1 - sound0 visualization2",-6.2,6.94896176077139,75.9999999999999,-0.892219616893064,0.947260833413568,"Q3_1"
"sound0 visualization1 - sound1 visualization2",4.4,11.1374901196176,65.2939258729019,0.395062078865489,0.998700637133202,"Q3_1"
"sound0 visualization1 - sound0 visualization3",-1,6.94896176077139,75.9999999999999,-0.143906389821462,0.999991039275987,"Q3_1"
"sound0 visualization1 - sound1 visualization3",-9.1,11.1374901196176,65.2939258729022,-0.817060208562717,0.963369860935281,"Q3_1"
"sound1 visualization1 - sound0 visualization2",-7.9,11.1374901196176,65.2939258729019,-0.709316005235765,0.980175635969939,"Q3_1"
"sound1 visualization1 - sound1 visualization2",2.7,6.94896176077139,75.9999999999999,0.388547252517947,0.998808964075359,"Q3_1"
"sound1 visualization1 - sound0 visualization3",-2.7,11.1374901196176,65.2939258729022,-0.242424457485641,0.99988024127229,"Q3_1"
"sound1 visualization1 - sound1 visualization3",-10.8,6.94896176077139,75.9999999999999,-1.55418901007179,0.630727331344895,"Q3_1"
"sound0 visualization2 - sound1 visualization2",10.6,11.1374901196176,65.2939258729022,0.951740462721407,0.931183533189346,"Q3_1"
"sound0 visualization2 - sound0 visualization3",5.2,6.94896176077139,75.9999999999999,0.748313227071602,0.975038135777139,"Q3_1"
"sound0 visualization2 - sound1 visualization3",-2.9,11.1374901196176,65.2939258729022,-0.2603818247068,0.999829726552403,"Q3_1"
"sound1 visualization2 - sound0 visualization3",-5.4,11.1374901196176,65.2939258729022,-0.484848914971283,0.99654627403006,"Q3_1"
"sound1 visualization2 - sound1 visualization3",-13.5,6.94896176077139,75.9999999999999,-1.94273626258974,0.384804124381359,"Q3_1"
"sound0 visualization3 - sound1 visualization3",-8.1,11.1374901196176,65.2939258729019,-0.727273372456924,0.977863693238959,"Q3_1"
"sound0 visualization1 - sound1 visualization1",3.09999999999997,11.0104418051509,66.6910694048779,0.281550918197463,0.999750283750539,"Q3_2"
"sound0 visualization1 - sound0 visualization2",-7.2,7.00218940577315,75.9999999999999,-1.02824982055809,0.906992958605344,"Q3_2"
"sound0 visualization1 - sound1 visualization2",10.1,11.0104418051509,66.6910694048776,0.917311056062708,0.940728137372489,"Q3_2"
"sound0 visualization1 - sound0 visualization3",1.55,7.00218940577315,75.9999999999999,0.221359336370144,0.999924110816012,"Q3_2"
"sound0 visualization1 - sound1 visualization3",-11.15,11.0104418051509,66.6910694048776,-1.0126750767425,0.912123646658952,"Q3_2"
"sound1 visualization1 - sound0 visualization2",-10.3,11.0104418051509,66.6910694048776,-0.935475631430287,0.935824035894701,"Q3_2"
"sound1 visualization1 - sound1 visualization2",7,7.00218940577315,75.9999999999999,0.999687325542587,0.916649486855799,"Q3_2"
"sound1 visualization1 - sound0 visualization3",-1.54999999999997,11.0104418051509,66.6910694048776,-0.14077545909873,0.999991915639837,"Q3_2"
"sound1 visualization1 - sound1 visualization3",-14.25,7.00218940577315,75.9999999999999,-2.03507776985455,0.332647550300125,"Q3_2"
"sound0 visualization2 - sound1 visualization2",17.3,11.0104418051509,66.6910694048779,1.57123576929553,0.620022893882336,"Q3_2"
"sound0 visualization2 - sound0 visualization3",8.75,7.00218940577315,75.9999999999999,1.24960915692823,0.810849908136457,"Q3_2"
"sound0 visualization2 - sound1 visualization3",-3.95000000000003,11.0104418051509,66.6910694048776,-0.358750363509677,0.999185432378371,"Q3_2"
"sound1 visualization2 - sound0 visualization3",-8.54999999999997,11.0104418051509,66.6910694048776,-0.776535596963976,0.970563924190172,"Q3_2"
"sound1 visualization2 - sound1 visualization3",-21.25,7.00218940577315,75.9999999999999,-3.03476509539714,0.0373205470732446,"Q3_2"
"sound0 visualization3 - sound1 visualization3",-12.7,11.0104418051509,66.6910694048776,-1.15345053584123,0.856885313366558,"Q3_2"
"sound0 visualization1 - sound1 visualization1",6.15,11.1140499994648,72.2987626179004,0.553353637989407,0.993610811439483,"Q3_3"
"sound0 visualization1 - sound0 visualization2",-4.9,7.56225617003265,75.9999999999999,-0.64795477564189,0.98684619941819,"Q3_3"
"sound0 visualization1 - sound1 visualization2",4.25,11.1140499994648,72.2987626179004,0.382398855521135,0.998894814837694,"Q3_3"
"sound0 visualization1 - sound0 visualization3",-0.45,7.56225617003265,75.9999999999999,-0.0595060508242551,0.999999890564496,"Q3_3"
"sound0 visualization1 - sound1 visualization3",-8.95,11.1140499994648,72.2987626179004,-0.80528700162686,0.965670520692182,"Q3_3"
"sound1 visualization1 - sound0 visualization2",-11.05,11.1140499994648,72.2987626179004,-0.994237024354951,0.91834173769547,"Q3_3"
"sound1 visualization1 - sound1 visualization2",-1.9,7.56225617003265,75.9999999999999,-0.251247770146855,0.999858228876681,"Q3_3"
"sound1 visualization1 - sound0 visualization3",-6.6,11.1140499994648,72.2987626179004,-0.593842928573998,0.9911454993444,"Q3_3"
"sound1 visualization1 - sound1 visualization3",-15.1,7.56225617003265,75.9999999999999,-1.99675859432501,0.353825886524391,"Q3_3"
"sound0 visualization2 - sound1 visualization2",9.15,11.1140499994648,72.2987626179004,0.823282241886679,0.962282408545125,"Q3_3"
"sound0 visualization2 - sound0 visualization3",4.45,7.56225617003265,75.9999999999999,0.588448724817634,0.991524903247657,"Q3_3"
"sound0 visualization2 - sound1 visualization3",-4.05,11.1140499994648,72.2987626179004,-0.364403615261317,0.99912463695841,"Q3_3"
"sound1 visualization2 - sound0 visualization3",-4.7,11.1140499994648,72.2987626179004,-0.422888146105726,0.998206534512023,"Q3_3"
"sound1 visualization2 - sound1 visualization3",-13.2,7.56225617003265,75.9999999999999,-1.74551082417815,0.506679460317846,"Q3_3"
"sound0 visualization3 - sound1 visualization3",-8.5,11.1140499994648,72.2987626179004,-0.764797711042269,0.972511978110299,"Q3_3"
"sound0 visualization1 - sound1 visualization1",5.6,11.0805466348195,65.5923220338388,0.505390228890203,0.995801076304021,"Q3_4"
"sound0 visualization1 - sound0 visualization2",-2.3,6.94232178255403,76.0000000000003,-0.331301266642504,0.999450087617808,"Q3_4"
"sound0 visualization1 - sound1 visualization2",1.4,11.0805466348195,65.5923220338388,0.126347557222551,0.999995276852701,"Q3_4"
"sound0 visualization1 - sound0 visualization3",0.799999999999999,6.94232178255403,75.9999999999999,0.115235223180001,0.999997036693361,"Q3_4"
"sound0 visualization1 - sound1 visualization3",-13,11.0805466348195,65.5923220338388,-1.17322731706654,0.847885282297543,"Q3_4"
"sound1 visualization1 - sound0 visualization2",-7.9,11.0805466348195,65.5923220338388,-0.712961215755823,0.979724339747298,"Q3_4"
"sound1 visualization1 - sound1 visualization2",-4.2,6.94232178255403,76.0000000000003,-0.604984921695008,0.990374779854401,"Q3_4"
"sound1 visualization1 - sound0 visualization3",-4.8,11.0805466348195,65.5923220338388,-0.433191624763031,0.997978665166001,"Q3_4"
"sound1 visualization1 - sound1 visualization3",-18.6,6.94232178255403,75.9999999999999,-2.67921893893504,0.0914317292526369,"Q3_4"
"sound0 visualization2 - sound1 visualization2",3.7,11.0805466348195,65.5923220338388,0.33391854408817,0.999424639948451,"Q3_4"
"sound0 visualization2 - sound0 visualization3",3.1,6.94232178255403,75.9999999999999,0.446536489822506,0.997678686820228,"Q3_4"
"sound0 visualization2 - sound1 visualization3",-10.7,11.0805466348195,65.5923220338388,-0.965656330200925,0.927086038236458,"Q3_4"
"sound1 visualization2 - sound0 visualization3",-0.599999999999999,11.0805466348195,65.5923220338388,-0.0541489530953788,0.99999993117782,"Q3_4"
"sound1 visualization2 - sound1 visualization3",-14.4,6.94232178255403,75.9999999999999,-2.07423401724003,0.311736176030909,"Q3_4"
"sound0 visualization3 - sound1 visualization3",-13.8,11.0805466348195,65.5923220338388,-1.24542592119372,0.812786074753407,"Q3_4"
"sound0 visualization1 - sound1 visualization1",3.74999999999999,11.0864744151707,60.2315783122988,0.338250002621979,0.999384659629249,"Q3_5"
"sound0 visualization1 - sound0 visualization2",-4.2,6.38707571405,76.0000000000003,-0.657577925804297,0.985940959327543,"Q3_5"
"sound0 visualization1 - sound1 visualization2",1.34999999999999,11.0864744151707,60.2315783122988,0.121770000943912,0.999996050981924,"Q3_5"
"sound0 visualization1 - sound0 visualization3",0.0999999999999986,6.38707571405,76.0000000000003,0.0156566172810545,0.999999999861749,"Q3_5"
"sound0 visualization1 - sound1 visualization3",-13.6,11.0864744151707,60.2315783122988,-1.22672000950905,0.822080476240951,"Q3_5"
"sound1 visualization1 - sound0 visualization2",-7.94999999999999,11.0864744151707,60.2315783122988,-0.717090005558595,0.979134892431585,"Q3_5"
"sound1 visualization1 - sound1 visualization2",-2.4,6.38707571405,76.0000000000003,-0.375758814745313,0.998986714204289,"Q3_5"
"sound1 visualization1 - sound0 visualization3",-3.65,11.0864744151707,60.2315783122988,-0.329230002552059,0.99946051435961,"Q3_5"
"sound1 visualization1 - sound1 visualization3",-17.35,6.38707571405,76.0000000000003,-2.71642309826299,0.0837172734938306,"Q3_5"
"sound0 visualization2 - sound1 visualization2",5.54999999999999,11.0864744151707,60.2315783122988,0.500610003880529,0.995968630606423,"Q3_5"
"sound0 visualization2 - sound0 visualization3",4.3,6.38707571405,76.0000000000003,0.673234543085351,0.984371963638295,"Q3_5"
"sound0 visualization2 - sound1 visualization3",-9.40000000000001,11.0864744151707,60.2315783122988,-0.847880006572428,0.957065153816603,"Q3_5"
"sound1 visualization2 - sound0 visualization3",-1.25,11.0864744151707,60.2315783122988,-0.112750000873993,0.999997308946275,"Q3_5"
"sound1 visualization2 - sound1 visualization3",-14.95,6.38707571405,76.0000000000003,-2.34066428351768,0.190962016911248,"Q3_5"
