question,Effect,Term,F,Df,Df.res,Pr(>F)
Q3_1,sound,sound,1.843621348,1,38,0.182535672
,visualization,visualization,0.12418963,2,76,0.883391205
,sound:visualization,sound:visualization,1.8118347,2,76,0.170338716
Q3_2,sound,sound,2.620879482,1,38,0.113737251
,visualization,visualization,1.264579129,2,76,0.288231006
,sound:visualization,sound:visualization,4.593316703,2,76,0.013085828
Q3_3,sound,sound,1.574003816,1,38,0.217288517
,visualization,visualization,2.739549539,2,76,0.070983958
,sound:visualization,sound:visualization,1.559615174,2,76,0.21686949
Q3_4,sound,sound,2.328853979,1,38,0.135276408
,visualization,visualization,1.785119754,2,76,0.174739555
,sound:visualization,sound:visualization,2.373026793,2,76,0.10007069
Q3_5,sound,sound,2.648100269,1,38,0.111938612
,visualization,visualization,1.664020685,2,76,0.19620077
,sound:visualization,sound:visualization,2.771211287,2,76,0.068919058
Q3_6,sound,sound,2.669000385,1,38,0.110579667
,visualization,visualization,0.933292287,2,76,0.397716606
,sound:visualization,sound:visualization,1.166044864,2,76,0.317108164
Q3_7,sound,sound,2.374990038,1,38,0.131579552
,visualization,visualization,1.45234976,2,76,0.240440396
,sound:visualization,sound:visualization,1.735881312,2,76,0.183159049
Q3_8,sound,sound,3.532275199,1,38,0.067869868
,visualization,visualization,0.000167377,2,76,0.999832637
,sound:visualization,sound:visualization,0.303768843,2,76,0.738923321
Q3_9,sound,sound,3.970787618,1,38,0.053514454
,visualization,visualization,0.218550071,2,76,0.804186562
,sound:visualization,sound:visualization,0.017868339,2,76,0.982294479
Q3_10,sound,sound,0.434573352,1,38,0.513728701
,visualization,visualization,1.735067654,2,76,0.183301624
,sound:visualization,sound:visualization,1.034866471,2,76,0.360225244
Q3_11,sound,sound,2.046689711,1,38,0.160709854
,visualization,visualization,2.362281466,2,76,0.10108805
,sound:visualization,sound:visualization,4.884202845,2,76,0.010103636
