study,sound,condition,num_danger_obj
1,0,1,12
1,0,2,9
1,0,3,0
2,1,1,0
2,1,2,1
2,1,3,0
3,0,2,10
3,0,3,9
3,0,1,5
4,1,2,3
4,1,3,3
4,1,1,5
5,0,3,1
5,0,1,3
5,0,2,4
6,1,3,0
6,1,1,1
6,1,2,1
7,0,1,1
7,0,2,0
7,0,3,1
8,1,1,1
8,1,2,0
8,1,3,0
9,0,2,0
9,0,3,4
9,0,1,3
10,1,2,13
10,1,3,5
10,1,1,1
11,0,3,0
11,0,1,3
11,0,2,0
12,1,3,5
12,1,1,3
12,1,2,4
13,0,1,3
13,0,2,2
13,0,3,3
14,1,1,0
14,1,2,0
14,1,3,0
15,0,2,0
15,0,3,0
15,0,1,0
16,1,2,2
16,1,3,4
16,1,1,5
17,0,3,12
17,0,1,11
17,0,2,19
18,1,3,2
18,1,2,0
18,1,1,0
19,0,1,0
19,0,2,1
19,0,3,0
20,1,1,0
20,1,2,0
20,1,3,0
