sound,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q4,Q5
0,1,1,70,49,81,71,50,86,67,14,15,85,100,"Engaging and fun, could be more accurate",Could be more accurate
0,1,2,81,90,71,60,71,83,84,21,21,82,100,Engaging and fun,Improves focus
0,1,3,100,9,9,8,22,9,24,23,23,100,100,Engaging,This task is much more accurate
0,2,1,71,82,88,89,86,86,86,76,73,60,59,It was a good experience overall but it can be even better with slight modifications.,Good
0,2,2,81,79,81,78,79,80,80,80,80,80,81,nice experience,great
0,2,3,31,59,59,59,58,60,59,50,35,25,22,Fine,Nice
0,5,1,50,38,38,48,35,39,32,21,19,24,60,it is interesting,there is a learning curve
0,5,2,61,47,27,69,29,21,21,21,17,39,70,it was a good experience,confusing but got the hang over time
0,5,3,30,30,20,43,30,29,30,8,7,18,44,good but need to improve,confusing to pick
0,6,1,60,59,59,59,73,53,68,61,67,65,60,,
0,6,2,56,59,59,49,53,38,42,27,27,46,53,The colors not accurate the images could be even more clear to understand them.,It was overall fun to play with and i would suggest to have clear images so the recognition is easy.
0,6,3,61,60,50,46,47,47,47,64,48,61,61,,
0,9,1,91,92,85,92,93,90,91,87,86,90,96,Pretty good overall,I think it captured everything accurately
0,9,2,95,90,94,89,83,90,84,89,88,83,92,This technique is actually very immersive and able to provide a way to connect with other person.,I think it properly captures the each persons intentions and pretty good over all.
0,9,3,90,79,73,74,72,71,70,57,62,75,92,Pretty good but need some improvements in accuracy,I think it's pretty accurately captured everything
0,10,1,92,100,100,100,93,98,91,96,82,97,97,"this visualization was better than the previous one, I felt i was able to pick the objects with ease and focus on what i wanted to pick",better than previous
0,10,2,91,96,100,100,96,99,83,97,91,80,95,I felt that the other 2 visualizations are much better. The ones where object has a boundary highlighted and one with no highlight.,average
0,10,3,70,81,92,92,92,100,100,93,71,80,89,this task was a good technique to understand shared gaze visualization. I felt that task objective can be completed in a better way by being more collaborative. The equipment used is good but just that i felt that picking up the object was a bit difficult ,good
0,13,1,59,83,74,84,84,72,72,88,88,69,97,"The exercise in and of itself was collaborative, but certain obstacles with the technology (grabbing the same bottles, manipulating the grasp) added to difficulty.",My partner and I found it mutually enriching. 
0,13,2,61,62,52,82,82,64,64,88,90,69,70,This exercise was more difficult. It seemed as if the colorization effect made it more difficult to focus on one item.,"Seems more difficult to grab, but also forced me and my partner to be more communicative."
0,13,3,66,89,90,91,92,73,59,82,83,84,84,"This allowed me to understand my partner's behavior, but I found it to be a more difficult exercise. It made things easier to see, but more frustrating to select.","Hi-lighting it made it easier to see the objects, but was still more difficult than the first exercise."
0,14,1,100,100,100,100,100,95,95,100,100,100,100,"It was good to see where her gaze was, but I think I mostly used that when the recycling load was easier. I think I paid attention to what she was grabbing more when the conveyor belt was crowded.",I liked it I think it was good for the task at hand.
0,14,2,100,100,90,100,100,85,95,70,100,70,90,I thought this one was much harder to keep track off because I would mix up my eyesight with hers. It was harder to predict what she would pick up as well.,"I think this visualization was not as effective, but it was still good to see what items we were looking at specifically."
0,14,3,90,90,95,100,100,90,95,95,100,80,90,I think this one was also harder than the 1st one. It was still good to see what she was looking at.,"I think this visualization was harder but still good, the shared visualization because I could react to her vision on the items."
0,17,1,99,99,99,100,99,100,100,100,100,100,100,The shared gaze visualiation helped reduce miscommunication with my partner and improved my attention by keeping a strict eye on objects.,"In the current context, shared gaze visualization technique allowed me to look at the eye movements of my partner while placing the objects in respective bins, and thereby improved our coordination."
0,17,2,100,100,92,100,93,100,96,100,100,100,100,I found it interesting and this overall session of shared gazed visualization technique helped me understand AR VR better. ,The shared gaze visualization technique required coordination with my partner and I enjoyed the overall technique. I could undertsnad my partner's attention and focus with ease.
0,17,3,97,94,98,95,96,100,100,100,100,100,100,The technique is engaging and helped me understand my partner's focus and attention,Mutual coordination is the key and I could understand my partner's intentions well through the shared - gazed visualization technique
0,18,1,100,100,100,100,100,100,100,100,100,100,100,Its fun and engaging. Could be a good technique in the future especially in the gaming world.,"The activity was great in this round, me and my partner did really well as compared to the previous rounds together. We understood things better with good coordination and did the task with ease."
0,18,2,90,95,90,95,90,100,90,100,95,92,96,"My experience was great. I enjoyed it, it was new for me. Shared-gaze visualization technique is great when working in teams and maybe for playing games where teams play together or even against eachother. I felt like both of these are possible. coordination is the key.","Shared-gaze visualization is great when there is coordination. After the experience I understand that a mutual understanding between the two people is important to do the task successfully, this is because I notice that when both of us are not communicating and trying to do the task individually and try to pick objects there is a collision because both of us are trying to pick and drop the same object. So probably if there is communication on who is doing what then there could be more possibilities of finishing the task successfully. "
0,18,3,96,95,97,99,98,100,100,100,100,100,100,"It is an engaging and fun way of doing things. It could be a great technique when we understand how this actually works, and we understand the task and have a plan on how to achieve or complete the task.","I understand that to complete the task this time me and my parter had a better communication than the before round, and so we could do it better together this time, so i understand that communication and coordination is the key when a shared gaze visualization technique is used to finish a task together. And on the other hand it could turn competitive when we oppose eachother and maybe like if the task is to see who collects more objects it could also be a way to do where we could play. Overall it is a fun experience and me and partner choose to understand eachother and did the activity better this time with communication and better understanding with coordination instaed of bo0th trying to pick the same object and both being unsuccessful trying to oppose eachother."
0,21,1,92,92,93,93,93,92,91,91,93,93,93,it is good,it was fun and here i improved a lot
0,21,2,90,91,91,92,92,92,92,92,93,91,92,good,good
0,21,3,93,95,93,95,92,79,80,89,91,100,100,It is good we can enhance it more and more to get best results,It was fun and it improves our concentration towards things and reacting quickly.
0,22,1,71,71,81,81,81,81,80,80,80,81,79,Good,Good
0,22,2,69,69,68,69,70,70,70,75,76,72,72,"Good, but a little difficult to adjust",Good
0,22,3,73,73,60,62,64,63,62,75,76,63,89,Its good but a little difficult to get a hang off initially,Good
0,25,1,10,41,30,93,94,8,6,8,9,10,10,,
0,25,2,50,30,22,95,100,25,25,72,72,50,40,"It is better when compared with the last session where there was only laser, because of the highlight I am able to efficiently put things into the bins.",
0,25,3,31,9,9,10,30,9,24,51,53,9,14,,
0,26,1,100,70,70,100,100,86,86,80,80,90,100,It's good to have a shared gaze visualization it helps to track and helps us guide in a better and efficient way.,Innovative
0,26,2,100,92,89,81,92,96,97,96,96,95,97,"It's really useful to have such kind of visualization, as it clearly distinguishes the visual responses of both people.",Great
0,26,3,100,100,100,100,100,100,100,100,100,100,100,This is really easier way of understanding the actual shared gaze and easier distingusable,Great
0,29,1,76,76,85,86,86,86,77,79,74,66,81,"This round was a bit quicker, was able to pick up more objects, not sure if it went it the boxes though",Overall a fun study
0,29,2,72,73,79,89,90,89,89,56,47,49,99,"Great Fun being part of it, has a drawback in focusing if people have some vison issues","Great Research, fun activity"
0,29,3,47,63,63,77,77,83,80,80,83,73,79,"The next task felt a bit more hard to pick things, identifying stuff was a bit difficult ","Tried with Specks, better view"
0,30,1,81,87,85,88,85,91,79,94,76,76,77,The tracker line helped understand where my partner was looking. That helped me avoid the objects he was trying to pick.,"One problem I had with it is that I could see the other end of my own eye tracker (white oval), which was a hinderance in the experience."
0,30,2,72,72,59,52,67,28,27,57,58,87,91,I could imagine use cases of such techniques and how it could help the visually impaired. ,"It was a good experience, with some minor hiccups"
0,30,3,91,93,82,83,83,82,81,83,81,84,84,The outline added the objects really helped understand what I was looking at and grabbing. This also helped me understand what my partner was trying to do.,The outline improved the experience and I was able to do it quicker than before.
