study,sound,condition,num_sorted_objects
1,0,1,4
1,0,2,4
1,0,3,23
2,1,1,51
2,1,2,30
2,1,3,57
3,0,2,21
3,0,3,37
3,0,1,47
4,1,2,28
4,1,3,31
4,1,1,64
5,0,3,36
5,0,1,50
5,0,2,39
6,1,3,19
6,1,1,35
6,1,2,49
7,0,1,53
7,0,2,65
7,0,3,50
8,1,1,22
8,1,2,30
8,1,3,28
9,0,2,1
9,0,3,14
9,0,1,22
10,1,2,18
10,1,3,27
10,1,1,53
11,0,3,32
11,0,1,42
11,0,2,44
12,1,3,17
12,1,1,37
12,1,2,41
13,0,1,60
13,0,2,63
13,0,3,53
14,1,1,51
14,1,2,75
14,1,3,71
15,0,2,17
15,0,3,40
15,0,1,47
16,1,2,11
16,1,3,43
16,1,1,46
17,0,3,8
17,0,1,11
17,0,2,12
18,1,3,35
18,1,2,34
18,1,1,41
19,0,1,6
19,0,2,6
19,0,3,9
20,1,1,17
20,1,2,36
20,1,3,35
