question,contrast,estimate,SE,df,t.ratio,p.value
Q3_1,sound0 visualization1 - sound1 visualization1,1.7,11.13749012,65.29392587,0.152637621,0.999987896
,sound0 visualization1 - sound0 visualization2,-6.2,6.948961761,76,-0.892219617,0.947260833
,sound0 visualization1 - sound1 visualization2,4.4,11.13749012,65.29392587,0.395062079,0.998700637
,sound0 visualization1 - sound0 visualization3,-1,6.948961761,76,-0.14390639,0.999991039
,sound0 visualization1 - sound1 visualization3,-9.1,11.13749012,65.29392587,-0.817060209,0.963369861
,sound1 visualization1 - sound0 visualization2,-7.9,11.13749012,65.29392587,-0.709316005,0.980175636
,sound1 visualization1 - sound1 visualization2,2.7,6.948961761,76,0.388547253,0.998808964
,sound1 visualization1 - sound0 visualization3,-2.7,11.13749012,65.29392587,-0.242424457,0.999880241
,sound1 visualization1 - sound1 visualization3,-10.8,6.948961761,76,-1.55418901,0.630727331
,sound0 visualization2 - sound1 visualization2,10.6,11.13749012,65.29392587,0.951740463,0.931183533
,sound0 visualization2 - sound0 visualization3,5.2,6.948961761,76,0.748313227,0.975038136
,sound0 visualization2 - sound1 visualization3,-2.9,11.13749012,65.29392587,-0.260381825,0.999829727
,sound1 visualization2 - sound0 visualization3,-5.4,11.13749012,65.29392587,-0.484848915,0.996546274
,sound1 visualization2 - sound1 visualization3,-13.5,6.948961761,76,-1.942736263,0.384804124
,sound0 visualization3 - sound1 visualization3,-8.1,11.13749012,65.29392587,-0.727273372,0.977863693
Q3_2,sound0 visualization1 - sound1 visualization1,3.1,11.01044181,66.6910694,0.281550918,0.999750284
,sound0 visualization1 - sound0 visualization2,-7.2,7.002189406,76,-1.028249821,0.906992959
,sound0 visualization1 - sound1 visualization2,10.1,11.01044181,66.6910694,0.917311056,0.940728137
,sound0 visualization1 - sound0 visualization3,1.55,7.002189406,76,0.221359336,0.999924111
,sound0 visualization1 - sound1 visualization3,-11.15,11.01044181,66.6910694,-1.012675077,0.912123647
,sound1 visualization1 - sound0 visualization2,-10.3,11.01044181,66.6910694,-0.935475631,0.935824036
,sound1 visualization1 - sound1 visualization2,7,7.002189406,76,0.999687326,0.916649487
,sound1 visualization1 - sound0 visualization3,-1.55,11.01044181,66.6910694,-0.140775459,0.999991916
,sound1 visualization1 - sound1 visualization3,-14.25,7.002189406,76,-2.03507777,0.33264755
,sound0 visualization2 - sound1 visualization2,17.3,11.01044181,66.6910694,1.571235769,0.620022894
,sound0 visualization2 - sound0 visualization3,8.75,7.002189406,76,1.249609157,0.810849908
,sound0 visualization2 - sound1 visualization3,-3.95,11.01044181,66.6910694,-0.358750364,0.999185432
,sound1 visualization2 - sound0 visualization3,-8.55,11.01044181,66.6910694,-0.776535597,0.970563924
