Q1,Q2_1,Q2_2,Q2_4,Q3,Q4_1,Q4_2,Q4_4,Q5,Q7,Q8
1,1,2,3,"I could constantly see my razor and my partners upuntill the last round, and the gaze hover was helpful",1,2,3,"The Ray helped keep track of my eye contact, the hover was able to focus on the particular item my eyes wanted to point and the outline made it easier",2,Did not observe that
2,1,3,2,Constant ray allowed me to focus .,2,3,1,outline made the objects brighter and better to see.,2,I did not notice them.
3,3,2,1,outline was more visually appealing and just as visible as the others,3,2,1,outline made it easy to identify objects and looked better,1,helps me see what i pick up
4,3,2,1,The outline was clearer than the hover. And the constant ray wasn't always necessary.,3,2,1,It was easier to see which item I picked up with the gaze outline.,1,I liked having the big outlines to make my selections clearer.
5,1,3,2,easier to focus,1,3,2,i can see what i'm doing,2,didnt notice dangerous items
6,3,1,2,it was easy to hover than seeing outline and ray is sometimes kind of out of focus,2,1,3,,2,
8,1,3,2,I think to see my partners focus the ray was the best way to interpret where he was looking. ,2,3,1,In this context it was easier to see which item was highlighted as it made it easier to know when to pinch and when to not. ,2,The visual cues helped to see what item i was picking or where me and my partner were looking but I had to make the decision on which items to pick. 
7,2,3,1,I simply feel like the outline test  had much less collisions.,2,3,1,I dont think the context of sorting makes much of a difference as the criteria I am using to determine which is better is by amount of clashing decisions and ease of intuitive decision making against my partners.,1,It was pretty clear which items fell into the proper categories and which did not.
9,2,3,1,Accuracy wise,2,3,1,Accuracy wise,2,I didn't find any visual cues
10,1,2,3,i felt constant ray is better as i was able to focus on picking on the obejct and then placing it compared to gaze outline and gaze hover,1,2,3,maybe for sorting outline is better,1,focus
11,3,2,1,outline is better to recognize,3,2,1,Easier to recognize,2,hard to notice
12,1,3,2,The ray is the most effortless in terms of knowing what my partner is looking at. Outline is better than hover because it is more easy to read.,1,3,2,"Since ray is the most easy to understand what my partner is looking at, I can more easily avoid grabbing the same object with it. I tend to ignore the hover's signal, since it is not easy to tell at a glance.",2,I mainly use the visual cues to avoid grabbing the same thing.
13,1,3,2,"The Constant Ray was the simplest, and therefore the easiest to visually consume; the outline illuminated objects better, but looked more complicated; the gaze hover was just so confusing.",3,2,1,Gaze Outline made it easy to see the objects. Constant ray was distorting. Gaze hover was ok.,1,The Gaze Outline was helpful in seeing both what objects were and making their sorting path easier to see. 
14,1,3,2,"I think the constant ray was very effective to see when my partner was looking at different items whereas when we would look at the other two, I could not tell which one of us what looking at the item. outline was a little better because it was easier on the eyes.",1,3,2,I think I was equally effective with sorting as visualizing. the outline was less jarring I feel so it was easier to stay focused compared to the hover. The ray beats both by miles. ,2,Not really but they weren't bad for it either. It just did not have an impact.
15,3,2,1,In the gaze outline the object picking was good compared to the others,3,2,1,Sorting was good in gaze outline,1,Yes they were usefull
16,3,2,1,Hand gestures were easily recognised,3,2,1,Constant Ray was not picking the objects according to the hand gestures,1,Good
17,1,3,2,Coordination was perfect in the Constant Ray,1,3,2,Sorting was done correctly in Constant Ray,1,Helped me hold the objects better 
18,1,3,2,Constant Ray helped me understand mine and my partner's view perfectly and made it easier for me to finish the task. Outline stands next as I could see what we were focusing on but only after we focused on a particular object in my point of view so that stands next and last is the hover.,2,3,1,Gaze Outline helped me sort objects better. It was clear and easy for sorting objects,1,It was based don my overall experience and the ease of doing the task.
19,2,1,3,some time it was not that constant when we are picking up the things and we cant able to see the images properly ,3,2,1,The content is good but the same we can't able to pick up the images as speed but it was good ,1,
20,3,1,2,constant ray feels like interruption i did not like it,3,1,2,constant ray felt more like interruption ,1,i can view what i can see that's a nice touch
21,3,2,1,I found it easy and quite simple as the movement was good for me,2,1,3,The same based on the movement,2,It was fun and easy to do
22,2,1,3,easier to see when its only you graze being pointed out.,1,2,3,the extended ray helped visuvalise the trajectory of the object better,2,"While picking up, you still ended up bumping into the dangerous items and sometimes the images weren't clear"
23,2,3,1,Its was really good and accurate when i  follow this method,2,3,1,Its was really good and accurate when i  follow this method,1,By using the Visual cues i can idetify the item quickly
24,3,1,2,Gaze Hover gave me good experience of picking up items.,1,2,3,"The both constant ray and Gaze Hover is good, but the Gaze outline is not accurate",1,"I dont see any dangerous items in the visuals, except glass. I had an great experience with the VR."
25,3,1,2,I was able to exactly see what me and my partner were aiming when it was gaze hover or gaze outline but with constant ray it was not easy.,3,2,1,the same reason,1,because of the highlights and hover i was able to dodge the broken items and go for remmaining
